MW,CLogP,HBD,TPSA,RotBonds,SMILES
199.252,3.476,1,37.810,2,Cc1cc(C)nc(Nc2ccccc2)n1
208.257,0.795,0,46.340,3,Cc1cc(C(=O)N(C(C)C)C2CC2)no1
207.295,2.752,0,29.020,1,Cc1sc2ncnc(N(C)C)c2c1C
241.714,3.299,1,38.330,4,COc1ccc(Cl)cc1C(=O)NCC(C)C
227.687,1.923,2,49.330,3,CC(C)(CO)NC(=O)c1cccc(Cl)c1
245.241,2.772,0,12.470,3,FC(F)(F)c1ccc(CN2CCOCC2)cc1
230.284,0.122,2,83.630,3,CN(CCO)S(=O)(=O)c1ccc(N)cc1
207.315,2.078,2,40.710,3,Cc1n[nH]c(C)c1CNC1CCCCC1
158.198,-1.164,2,50.360,2,CC(=O)NCC1CNCCO1
219.228,1.064,0,29.540,3,O=C(COC(F)F)N1CCCC2(CC2)C1
194.230,0.787,3,61.360,3,C[C@H](O)CNC(=O)Nc1ccccc1
198.176,-0.082,1,81.430,4,COC(=O)CNC(=O)c1cc(C)on1
222.628,2.172,1,55.130,2,O=C(Nc1ccon1)c1cccc(Cl)c1
244.311,1.066,0,53.760,2,CS(=O)(=O)N1CCN(Cc2ccco2)CC1
179.216,1.752,2,49.330,2,CCC(=O)Nc1ccc(C)cc1O
229.250,3.174,1,29.100,3,O=C(NCc1ccccc1)c1cccc(F)c1
237.361,2.696,1,29.100,4,O=C(NCCc1cccs1)C1CCCCC1
187.241,2.015,0,30.710,3,CCCn1nccc1-c1ccncc1
129.200,1.179,1,23.470,1,CC(C)(C)N1CC(O)C1
234.251,0.215,2,81.420,3,NC(=O)c1ccc(NC(=O)[C@@H]2CCCO2)cc1
205.256,0.263,0,46.090,1,CC1CCCCN1C(=O)c1cnccn1
249.332,1.810,1,46.920,4,CCc1ccc(C(=O)NCc2cnn(C)c2)s1
237.646,0.287,2,71.840,2,O=C(Nc1ccc(Cl)cc1)Nn1cnnc1
235.279,2.372,1,47.560,4,CC(C)CC(=O)NCc1ccc2c(c1)OCO2
225.327,2.366,0,29.540,3,O=C(CCC1CCCCC1)N1CCOCC1
227.262,2.492,1,54.880,3,CCc1ccc(NC(=O)c2cnccn2)cc1
179.216,0.981,1,38.330,4,COCC(=O)NCc1ccccc1
195.233,2.032,0,12.470,2,Fc1cccc(CN2CCOCC2)c1
231.265,3.335,1,21.260,4,COc1ccc(NCc2ccc(F)cc2)cc1
209.220,1.183,0,36.440,1,CN1CCN(c2ncccc2F)CC1=O
210.296,0.706,1,41.990,3,Cc1csc(CNC(=O)C2CCC2)n1
217.312,1.352,1,54.880,3,CC(=O)Nc1nnc(SC(C)C)s1
244.264,1.396,1,41.990,4,O=C(NCCc1ccncc1)c1ccccc1F
269.223,0.888,1,46.920,3,Cn1cc(NC(=O)c2ccccc2C(F)(F)F)cn1
246.348,2.105,0,23.550,4,CC(=O)N1CCN(CCCc2ccccc2)CC1
246.305,-0.138,1,63.400,2,Cc1cccc(C(=O)N2CCC(C(N)=O)CC2)c1
245.360,3.646,0,20.310,2,CC(C)(C)C1CCN(C(=O)c2ccccc2)CC1
233.715,1.832,1,46.170,2,CC(NS(C)(=O)=O)c1ccccc1Cl
290.376,1.454,1,32.340,4,CNC1CCN(C(=O)C2(c3ccc(F)cc3)CCC2)CC1.O=C(O)C(F)(F)F
237.300,4.133,2,40.710,4,c1ccc(CCNc2nc3ccccc3[nH]2)cc1
222.245,2.970,0,43.600,2,c1ccc(-c2ccc(-n3cnnn3)cc2)cc1
219.283,0.872,1,49.570,1,Cc1ccc(N2CCN(C(N)=O)CC2)cc1
233.349,2.509,1,23.470,3,CC(C)c1ccc(CN2CCC(O)CC2)cc1
243.301,2.879,0,33.450,1,CC1CCN(C(=O)c2cc3ccccc3o2)CC1
209.245,1.983,1,68.020,3,Cc1noc(NC(=O)CC2CCCC2)n1
227.259,3.274,0,39.190,3,Cc1ccc(C)c(OC(=O)c2ccncc2)c1
209.245,-0.046,0,51.390,3,C1CN(Cc2nc(C3CC3)no2)CCO1
237.273,1.813,1,35.580,1,CN1CCN(C(=O)Nc2ccc(F)cc2)CC1
225.249,3.300,2,66.490,2,Cc1ccc(Nc2ncnc3[nH]ncc23)cc1
243.261,2.468,2,63.250,3,COc1ccc(NC(=O)Nc2ccncc2)cc1
231.294,3.049,1,46.920,4,CCCn1c(NC(=O)CC)nc2ccccc21
199.313,1.721,2,32.260,4,Cc1ccsc1CNC(C)(C)CO
209.308,1.957,1,23.470,2,Oc1cccc(CN2CCSCC2)c1
189.259,0.895,1,54.880,2,CSc1nsc(NC(C)=O)n1
221.274,-1.344,1,72.470,3,COCC(=O)NC1(C)CCS(=O)(=O)C1
247.293,1.029,2,61.440,4,O=C(NCCN1CCCC1=O)Nc1ccccc1
207.269,1.153,1,38.330,3,COCC(=O)Nc1c(C)cc(C)cc1C
239.225,-0.419,1,79.980,3,COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1ccco1
248.278,0.113,0,53.760,2,O=C(c1ccco1)N1CCN(C(=O)C2CC2)CC1
203.240,1.991,1,46.920,2,CCn1c(NC(C)=O)nc2ccccc21
246.348,3.580,2,41.130,4,O=C(NCCc1ccccc1)NC1CCCCC1
243.265,1.765,1,72.700,3,O=C(Nc1ccc(-n2cnnn2)cc1)C1CCC1
215.269,0.099,0,50.520,2,O=S1(=O)CCN(Cc2ccco2)CC1
241.245,1.695,2,70.920,2,Cc1cc(C(=O)Nc2ccc3[nH]ccc3c2)no1
203.244,2.053,1,55.630,3,Cc1ccccc1CNc1nnnn1C
206.241,1.237,1,51.220,2,Cc1ccc(NC(=O)C2CCCO2)nc1
240.249,1.651,0,23.550,1,CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1
224.690,1.974,0,35.640,3,CC(C)n1ccc(Cn2cc(Cl)cn2)n1
180.250,-0.010,1,33.090,2,Cn1cc(CN2CCNCC2)cn1
185.626,3.449,1,12.030,0,Fc1ccc(Cl)c2c1CCCN2
221.244,1.748,0,29.540,3,CC1CCC(C)(C)N1C(=O)COC(F)F
212.264,1.275,0,23.550,1,CN1CCCC1C(=O)N1CCC=C(F)C1
136.194,2.144,1,24.920,2,CCNc1ncccc1C
191.291,0.065,1,46.170,2,CNC1CCCCC1S(C)(=O)=O
192.261,0.110,1,41.050,2,CNC1CCCN(c2cccnn2)C1
233.328,0.196,1,55.400,1,CS(=O)(=O)NC1CCOC2(CCCC2)C1
214.237,1.368,0,32.780,0,O=C(N1CCOCC1)N1CCC=C(F)C1
221.191,0.436,1,72.700,2,Cn1nnc(NC(=O)c2ccc(F)cc2)n1
140.186,-0.633,1,42.740,3,CCNCc1cn(C)nn1
207.272,0.707,1,50.950,3,C1CC(Cc2nc(C3CC3)no2)CCN1
142.242,1.032,1,29.260,2,CC(C)(N)CN1CCCC1
229.271,1.094,0,37.380,2,O=S1(=O)CCCN1Cc1cccc(F)c1
160.216,1.409,0,27.030,2,CN(C)Cc1ccc(C#N)cc1
191.273,1.654,1,28.160,1,Cc1cccc(N2CCNC(C)C2)n1
140.183,-0.265,1,38.050,2,Cc1nccn1CC(C)O
173.253,-0.651,2,41.490,3,CC(C)(O)CNC1CCOCC1
209.260,2.266,1,21.260,4,Fc1ccc(CNC[C@H]2CCCO2)cc1
222.264,2.776,1,51.220,2,COC(=O)Nc1nc2c(C)cccc2s1
208.257,0.935,0,46.340,2,CN(C)C(=O)c1cc(C2CCCC2)no1
156.206,-0.706,1,41.990,2,CC(=O)NCc1cncs1
162.192,-0.322,1,42.220,2,CNCc1nnc2ccccn12
160.173,1.861,0,38.920,1,Cc1nc(-c2ccccc2)no1
240.343,3.060,0,8.170,3,c1ccc(CN2CCC(n3cccc3)CC2)cc1
203.234,1.865,1,46.170,1,CNS(=O)(=O)c1cccc(C)c1F
198.285,1.993,1,34.150,3,Cc1csc(NCC2CCCO2)n1
150.221,0.851,1,24.920,3,CCC(NC)c1ccncc1
219.692,0.284,0,38.250,2,Clc1snnc1CN1CCOCC1
209.242,1.192,2,50.720,4,C[C@H](O)CNCc1ccc2c(c1)OCO2
205.256,1.430,0,43.850,3,CCc1noc(C)c1Cn1ccc(C)n1
189.254,2.290,0,20.310,0,CC(=O)N1c2ccccc2CCC1C
198.289,0.357,1,41.050,1,Cc1nsc(N2CCCNCC2)n1
142.199,-0.466,2,41.130,2,CCC(=O)NC1CCNC1
233.306,1.663,0,29.540,4,O=C(CCCc1ccccc1)N1CCOCC1
201.653,0.908,1,49.250,3,CC(CO)N(C)c1ncc(Cl)cn1
239.698,2.227,1,38.330,2,Cc1c(Cl)cccc1NC(=O)[C@@H]1CCCO1
150.178,-0.390,0,33.200,1,CC(=O)N(C)c1cccnc1
207.294,0.189,0,43.860,0,CN1CCN(S(=O)(=O)N(C)C)CC1
199.230,-1.276,0,55.320,1,O=C(c1csnn1)N1CCOCC1
191.269,2.164,0,20.310,3,CCN(CC)C(=O)c1ccccc1C
198.649,1.528,1,41.990,3,CCCC(=O)Nc1cccnc1Cl
205.296,2.434,1,23.470,2,CC1C(O)CCCN1Cc1ccccc1
225.354,0.644,1,42.150,3,Cc1nc(CN2CCC(CN)CC2)cs1
210.276,-0.091,1,50.160,3,CC(C)NC(=O)N(C)Cc1cnn(C)c1
209.245,0.041,1,56.150,3,Cn1ccc(C(=O)NC[C@@H]2CCCO2)n1
222.259,2.348,1,32.340,3,O=C(CN1CCCC1)Nc1ccc(F)cc1
140.183,0.137,1,38.050,3,CC(O)CCn1cccn1
299.729,1.385,2,75.430,3,NC(=O)C1CCN(C(=O)NCc2ccc(F)c(Cl)c2)C1
248.321,1.590,1,41.570,3,Cc1cccc(NC(=O)CN2CCOCC2)c1C
226.338,1.535,0,25.360,3,COC1CN(Cc2cncs2)CCC1C
216.640,2.076,2,41.130,2,CNC(=O)NCc1c(F)cccc1Cl
197.209,0.729,0,42.160,2,Cc1noc(CN2CCC=C(F)C2)n1
140.183,-0.253,1,38.050,3,CCn1cc(CCO)cn1
205.318,1.978,0,37.380,1,CN(C1CCCCCC1)S(C)(=O)=O
157.210,0.714,1,40.540,1,CC1CCCN(C(=O)CO)C1
231.294,1.611,0,39.500,3,COc1ccccc1N1CCN(CC#N)CC1
209.245,-0.052,1,58.370,3,Cc1cc(CN(C)C(=O)NC2CC2)no1
227.302,3.492,1,29.100,3,CC(C)CNC(=O)c1ccc2ccccc2c1
209.220,0.985,1,45.230,1,CC1CN(c2ncccc2F)CC(=O)N1
207.315,2.638,2,40.710,3,CC1CC(C)(C)CC1NCc1cc[nH]n1
211.261,0.065,1,62.390,3,CCc1noc(CN2CCCC(O)C2)n1
197.209,0.729,0,42.160,2,Cc1nc(CN2CCC=C(F)C2)no1
176.258,1.359,2,24.060,3,c1ccc(CNC2CCNC2)cc1
226.295,1.157,1,51.220,3,Cc1cc(C(=O)NCC2CCCO2)ns1
142.242,1.231,1,29.260,2,CC1(C)CCCN1CCN
195.261,1.309,0,42.160,2,Cc1noc(CN2CCCCC2C)n1
179.216,2.139,1,38.330,4,CCOC(=O)NCc1ccccc1
226.295,0.528,1,51.220,2,Cc1csc(NC(=O)C2CCOCC2)n1
244.246,1.139,2,71.340,3,CNC(=O)c1ccccc1NC(=O)c1ccco1
172.268,0.663,1,24.500,3,CNC(C)(C)CN1CCOCC1
209.245,0.198,1,56.150,2,Cc1cc(NC(=O)C2CCCO2)n(C)n1
167.208,-0.146,1,41.300,2,c1cc(CN2CCNCC2)no1
142.199,-1.073,1,32.340,0,CC(=O)N1CCCNCC1
191.291,1.782,1,46.170,2,CNS(=O)(=O)CC1CCCCC1
144.215,-0.886,2,35.500,2,CC1CNCCN1CCO
229.278,2.579,0,51.810,2,c1cc(-c2noc(C3CCCCC3)n2)ccn1
211.688,2.602,0,12.470,2,Clc1cccc(CN2CCOCC2)c1
249.289,3.013,2,63.250,3,COc1ccc(NC(=O)Nc2cccs2)cn1
210.233,-0.205,2,73.800,1,O=C(c1nc(=O)[nH][nH]1)N1CCCCCC1
227.280,0.674,1,55.400,1,CS(=O)(=O)NC1CCOc2ccccc21
198.285,2.293,1,41.990,4,CCC(CC)C(=O)Nc1nccs1
179.219,0.056,1,48.990,2,CN(C)C(=O)c1cc(C2CC2)[nH]n1
212.289,0.567,1,49.410,2,CC(=O)NC(C)C(=O)N1CCCCCC1
246.237,1.121,2,62.220,2,Cc1cccc(O)c1NC(=O)c1ccncc1F
219.161,1.423,1,38.330,3,CC(=O)Nc1ccc(OC(F)F)cc1F
165.192,-1.227,1,60.910,1,NC(=O)C1CCCn2ccnc21
197.163,1.101,2,66.400,2,CC(=O)Nc1ccc(F)c(C(=O)O)c1
238.713,2.063,0,23.550,1,CC(=O)N1CCN(c2ccc(Cl)cc2)CC1
246.237,2.788,3,61.360,2,O=C(Nc1ccc(F)cc1)Nc1cccc(O)c1
245.277,0.808,1,65.360,2,N#Cc1ccc(CNC(=O)N2CCOCC2)cc1
248.321,2.200,1,55.130,4,Cc1noc(C)c1C(=O)NCCC1=CCCCC1
211.208,1.629,0,20.310,1,O=C(c1c(F)cccc1F)N1CCCC1
193.246,0.108,0,46.090,3,CCN(CC)C(=O)c1ccnc(C)n1
188.183,2.315,1,47.140,1,c1cc(-c2ccc3c(c2)OCO3)n[nH]1
222.208,0.860,1,32.340,3,CNC(=O)CN1CC=C(C(F)(F)F)CC1
165.192,-0.750,1,59.220,1,CN(C)C(=O)c1ccnc(N)c1
212.221,0.469,1,55.560,3,CN(C)C(=O)COc1ccc(N)c(F)c1
196.289,2.371,2,41.130,2,O=C1NCCNC1CC1CCCCC1
169.184,-1.499,1,77.040,2,CN(C)C(=O)Cn1cnc(N)n1
205.210,1.631,1,47.560,2,O=C(NC1CC1)c1ccc2c(c1)OCO2
233.306,0.731,1,38.330,3,CC(=O)NCC1(c2ccccc2)CCOCC1
248.321,2.432,0,32.780,3,Cc1ccc(OCC(=O)N2CCN(C)CC2)cc1
209.288,1.435,1,46.920,3,CCC(C)(C)NC(=O)c1cc(C)nn1C
240.300,3.408,1,41.990,3,CC(C)c1ccc(C(=O)Nc2ccccn2)cc1
139.155,-0.951,2,57.780,2,CC(=O)NCc1cn[nH]c1
191.226,1.780,1,38.330,1,COc1cccc2c1CCCC(=O)N2
191.187,0.319,1,74.170,2,COc1ccccc1-c1nnc(N)o1
199.638,0.658,1,68.870,2,CC(C)c1ncc(Cl)c(C(N)=O)n1
137.182,1.403,1,37.810,2,CCNc1ccc(C)nn1
242.295,0.570,0,59.500,4,CCOC(=O)c1sc(N(C)C(C)=O)nc1C
249.306,2.370,0,38.770,3,Cc1ccc(OCC(=O)N2CCOCC2)c(C)c1
227.283,-0.301,1,62.300,3,Cc1ncsc1C(=O)NCC(=O)N(C)C
222.305,0.676,0,49.850,1,CCC1CN(S(=O)(=O)N(C)C)CCO1
170.232,1.425,1,41.990,2,CCC(=O)Nc1nc(C)cs1
175.230,2.874,2,40.710,2,CC(C)Nc1nc2ccccc2[nH]1
142.199,-0.158,2,55.120,2,CNC1(C(N)=O)CCCC1
165.232,2.698,1,23.470,3,CCN(CC)c1cccc(O)c1
152.151,1.241,1,65.210,2,COC(=O)c1ccncc1N
167.208,-0.993,1,60.910,2,Cc1nn(C)c(C)c1CC(N)=O
225.268,0.176,1,62.300,3,O=C(CN1CCCC1=O)Nc1nccs1
191.187,0.147,3,70.230,1,CC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
226.338,1.389,1,41.990,3,Cc1nc(C)c(C(C)NC(=O)C(C)C)s1
193.246,0.167,1,45.230,3,CC(=O)NCc1ccnc(N(C)C)c1
188.186,0.357,2,70.670,2,O=C(Nc1cn[nH]c1)c1ccncc1
209.217,1.734,0,29.540,2,CN1CCC(Oc2cccc(F)c2)C1=O
252.311,1.903,1,46.330,2,Nc1ccc2c(c1)N(C(=O)Cc1ccccc1)CC2
204.268,1.201,1,32.340,1,CN(C)C(=O)c1ccc2c(c1)CCCN2
122.168,1.359,0,16.130,1,CN(C)c1ccncc1
205.296,2.874,2,32.260,3,Oc1ccc(CNC2CCCCC2)cc1
247.316,2.596,1,54.880,3,CC(C)c1ccc(C(=O)Nc2nncs2)cc1
208.260,0.789,1,59.810,3,O=C(CC1CCCCC1)Nn1cnnc1
223.227,0.912,1,54.880,2,O=C(Nc1nncs1)c1ccccc1F
212.289,0.303,1,41.570,3,COC1CCN(C(=O)NCC2CC2)CC1
139.155,-1.221,2,57.780,2,CC(=O)NCc1ncc[nH]1
140.140,1.147,1,54.980,3,CCOC(=O)c1cn[nH]c1
140.140,-1.478,1,52.900,2,O=c1ccncn1CCO
208.214,-0.239,1,70.500,2,Cc1nc(C(=O)N(C)C)ccc1C(=O)O
248.346,0.589,1,55.890,0,CN1CCN(S(=O)(=O)N2CCNCC2)CC1
211.190,1.042,1,57.610,3,CN(CC(=O)O)C(=O)c1ccc(F)cc1
232.301,2.434,1,41.990,3,Cc1ccc(CC(=O)Nc2nccs2)cc1
242.702,2.201,3,61.360,3,CC(C)(CO)NC(=O)Nc1ccc(Cl)cc1
228.268,0.175,2,89.260,3,CCC(=O)Nc1ccc(S(N)(=O)=O)cc1
181.235,1.259,1,46.920,3,CC(C)CNC(=O)c1nccn1C
217.260,1.372,1,46.170,3,CS(=O)(=O)NCCc1ccc(F)cc1
209.632,1.536,1,50.940,2,OCc1cn(-c2ccc(Cl)cc2)nn1
204.583,2.395,1,46.530,3,O=C(O)COc1ccc(Cl)c(F)c1
212.247,2.733,2,55.120,2,NC(=O)Nc1ccc(-c2ccccc2)cc1
157.253,1.349,2,32.260,3,CC(O)CNC1CCCCC1
235.304,0.464,1,69.720,1,CC(C)N(C)S(=O)(=O)N1CCNC(=O)C1
232.235,1.357,2,85.330,3,CCC(=O)Nc1c(C(N)=O)oc2ccccc12
205.210,0.908,2,66.400,3,O=C(NC1(C(=O)O)CC1)c1ccccc1
234.316,-1.291,1,66.480,2,CCS(=O)(=O)N1CCC(NC(C)=O)CC1
192.261,0.869,1,41.050,1,Cc1cc(N2CCNCC2)nc(C)n1
229.639,1.209,1,45.230,1,O=C1CN(c2ncc(Cl)cc2F)CCN1
199.270,1.002,1,60.160,3,CC(CS(N)(=O)=O)c1ccccc1
158.198,-0.038,1,43.780,1,CN1CCN(C(=O)CO)CC1
197.163,1.731,2,66.400,2,CC(=O)Nc1cccc(F)c1C(=O)O
149.190,0.903,1,43.090,2,Cc1ccccc1CC(N)=O
139.155,-0.657,1,48.990,1,CN(C)C(=O)c1cn[nH]c1
198.649,1.070,2,55.120,2,Cc1c(Cl)cccc1NC(=O)CN.Cl
251.280,2.591,2,56.190,3,N=c1sccn1CC(=O)Nc1ccc(F)cc1
217.199,1.639,1,54.880,2,O=C(Nc1cccc(F)c1)c1cnccn1
203.197,0.819,1,68.020,3,O=C(NCc1ccco1)c1cnccn1
166.177,1.122,1,65.210,3,CCOc1ccc(C(N)=O)cn1
206.201,-0.148,1,72.950,2,Cc1cc(C(=O)Nc2ccn(C)n2)on1
147.174,2.153,1,25.020,1,COc1cccc2[nH]ccc12
230.284,-0.252,0,63.410,1,Cc1cc(C2CCCN2S(C)(=O)=O)no1
166.217,2.534,2,40.460,1,CC(C)(C)c1cc(O)ccc1O
234.122,2.653,2,32.260,4,C[C@H](O)CNCc1c(Cl)cccc1Cl
237.273,1.288,2,44.370,3,O=C(CN1CCNCC1)Nc1ccc(F)cc1
220.291,2.128,0,25.360,1,c1ccc2sc(N3CCOCC3)nc2c1
203.197,0.236,2,70.560,1,CNC(=O)c1nc2ccccc2c(=O)[nH]1
147.177,1.382,1,48.710,2,CCNc1ccc(C#N)cn1
189.214,0.103,1,58.690,1,CC1=NN(c2cccc(N)c2)C(=O)C1
217.289,-0.547,1,63.990,2,Cc1c(C(C)NS(C)(=O)=O)cnn1C
170.252,-0.571,1,32.340,2,CN(C)C(=O)CC1CCNCC1.Cl
173.171,0.744,2,64.920,0,N#Cc1ccc2c(c1)NCC(=O)N2
272.138,1.833,2,49.330,3,Cc1cc(Br)ccc1C(=O)NCC(C)O
234.226,1.363,1,55.130,2,CNC(=O)c1c(-c2ccc(F)cc2)noc1C
235.305,1.628,1,51.380,1,Nc1ccc2nc(N3CCOCC3)sc2c1
212.244,3.302,1,37.300,3,O=C(O)Cc1ccc(-c2ccccc2)cc1
242.270,3.547,1,46.530,4,CC(Oc1ccc(-c2ccccc2)cc1)C(=O)O
202.209,1.316,1,55.130,2,Cc1occc1C(=O)Nc1ccncc1
190.220,-0.972,1,72.200,2,CNS(=O)(=O)Cc1cc(C)on1
234.316,0.258,0,57.690,2,CN(CC(=O)N1CCCCC1)S(C)(=O)=O
193.199,1.067,1,47.560,1,CC(=O)Nc1cc2c(cc1C)OCO2
153.182,-0.206,0,38.130,2,CN(C)C(=O)Cn1cccn1
200.235,-0.707,1,72.630,3,COCC(=O)N1CCCC(C(N)=O)C1
224.323,2.215,1,41.990,3,Cc1ncsc1C(=O)NCC1CCCC1
171.197,-2.038,1,66.640,0,CC(=O)N1CCN(C(N)=O)CC1
142.176,1.848,1,37.300,1,Cc1ccsc1C(=O)O
199.634,1.718,1,52.320,3,CC(Oc1ccc(Cl)cc1)C(N)=O
220.268,0.550,1,55.560,3,Nc1cccc(OCC(=O)N2CCCC2)c1
241.737,2.296,0,20.310,1,O=C(c1ccc(Cl)cc1)N1CCSCC1
156.206,0.464,1,41.990,1,CNC(=O)c1cnc(C)s1
204.268,1.703,2,41.130,1,CC(=O)Nc1ccc(C)c2c1CCCN2
201.246,-0.267,1,76.290,1,CN(C)S(=O)(=O)c1ccc(N)nc1
223.255,0.083,1,72.700,2,Cc1cc(C(=O)Nc2cnns2)n(C)n1
219.283,1.368,1,35.580,1,CN1CCN(C(=O)Nc2ccccc2)CC1
170.138,1.633,1,46.530,3,O=C(O)COc1ccc(F)cc1
249.289,0.836,2,85.080,2,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
223.243,1.890,0,29.540,3,O=C(COc1ccc(F)cc1)N1CCCC1
204.268,1.006,2,55.120,3,CC(N)c1ccc(NC(=O)C2CC2)cc1.Cl
190.199,0.623,1,76.110,3,CC(Oc1ccccc1C#N)C(N)=O
234.317,3.186,1,48.140,3,CC(C)Oc1ccc(-c2csc(N)n2)cc1
234.316,0.316,1,58.640,1,O=S(=O)(C1CCCNC1)N1CCOCC1
225.268,-0.416,2,71.090,2,O=C1CCC(NC(=O)c2cscn2)CN1
217.285,-0.939,1,63.240,2,CC1(NC(=O)C2CC2)CCS(=O)(=O)C1
199.248,2.952,1,35.250,3,Nc1ccccc1OCc1ccccc1
208.214,-0.069,1,60.450,2,O=C(Nc1ccccn1)C1COCCO1
232.321,0.871,1,46.330,4,NC(=O)C1CCN(CCc2ccccc2)CC1
229.660,1.296,1,47.560,3,COc1cc(NC(C)=O)c(OC)cc1Cl
175.191,1.121,1,69.620,1,Cc1ccc(-n2cnnn2)cc1N
235.304,-0.519,1,83.710,2,CC(C(N)=O)N1CCN(S(C)(=O)=O)CC1
190.199,0.623,1,76.110,3,CC(Oc1ccc(C#N)cc1)C(N)=O
207.201,1.367,0,33.450,1,CN(C)C(=O)c1cc2cccc(F)c2o1
157.167,-0.176,1,57.610,2,CN(C)C(=O)C1(C(=O)O)CC1
207.247,0.000,1,74.680,1,CS(=O)(=O)N1CCCC(C(=O)O)C1
186.232,-0.010,0,50.270,1,CN(C)S(=O)(=O)c1cccnc1
213.235,2.485,2,54.020,2,O=C(Nc1ccccc1)Nc1cccnc1
195.218,-2.515,1,87.190,2,N#CCC(=O)N1CCC(C(N)=O)CC1
248.301,2.877,1,51.220,3,COc1ccc2nc(NC(=O)C3CC3)sc2c1
200.258,-0.097,2,72.190,2,CS(=O)(=O)Nc1ccc(CN)cc1.Cl
207.229,-0.503,1,64.110,3,O=C(NCC1CCOC1)c1cnccn1
195.261,2.203,2,57.780,3,CCC(C)(C)NC(=O)c1cc(C)n[nH]1
239.312,2.977,1,23.470,3,OC1CN(C(c2ccccc2)c2ccccc2)C1
139.198,0.154,1,29.850,3,CCn1nccc1CNC.Cl.Cl
221.274,-0.407,1,74.680,2,CCS(=O)(=O)N1CCC(C(=O)O)CC1
265.280,1.788,1,57.610,3,O=C(O)C1CCCN(C(=O)Cc2ccc(F)cc2)C1
217.270,2.436,1,45.980,4,CN(C)c1ccc(CNn2cnnc2)cc1
241.285,2.871,2,49.330,2,Cc1ccc(NC(=O)c2ccccc2C)c(O)c1
242.316,3.812,1,52.890,4,N#Cc1cccc(NC(=O)CCC2CCCC2)c1
249.233,1.646,1,46.920,4,CC(C)(C)NC(=O)Cn1ccc(C(F)(F)F)n1
192.236,-0.818,1,80.470,1,CS(=O)(=O)N1CCCC1C(N)=O
212.312,2.230,1,41.990,3,CCC(C)(C)NC(=O)c1cnc(C)s1
205.256,0.210,0,38.250,1,c1cnc(N2CCC3(CCOC3)C2)cn1
227.326,1.929,2,58.040,3,Cc1nsc(NC2CCCC2(C)CO)n1
205.260,1.752,0,46.320,3,CCN(CC)c1cc(C)nc2ncnn12
277.243,1.478,0,47.360,3,CC1COCCN1C(=O)Cn1ccc(C(F)(F)F)n1
217.267,1.211,2,57.780,3,CC(C)C(=O)NCc1nc2ccccc2[nH]1
142.199,-2.006,1,46.330,0,CC(=O)N1CCC(N)CC1
192.258,0.951,2,55.120,2,Cc1ccc(N)cc1C(=O)NC(C)C
213.300,1.135,1,37.390,3,CN1CCOC(CNc2nccs2)C1
221.213,-1.300,3,115.280,3,CC(=O)Nc1cc(C(N)=O)cc(C(N)=O)c1
214.242,-0.442,2,89.260,2,CNC(=O)c1ccc(S(N)(=O)=O)cc1
175.187,1.230,2,57.780,1,CC(=O)Nc1ccc2c[nH]nc2c1
188.226,1.597,1,34.030,1,CNC(=O)c1cn(C)c2ccccc12
163.238,-2.266,1,46.170,1,CNC1CCS(=O)(=O)CC1.Cl
234.294,1.637,2,58.200,4,CC(=O)Nc1ccc(NC(=O)CC(C)C)cc1
170.209,-1.170,1,63.400,1,CC(=O)N1CCCC(C(N)=O)C1
181.192,-0.785,1,68.010,1,Cn1nnc2c1CC(C(=O)O)CC2
177.226,2.359,1,37.810,2,c1ccc(Nc2nncs2)cc1
144.172,-1.131,2,50.360,1,CNC(=O)C1CNCCO1
134.139,0.245,1,61.600,1,CNc1nccnc1C#N
234.226,2.490,2,54.270,3,O=C(NCc1ccco1)Nc1ccc(F)cc1
203.262,0.374,1,66.060,1,Cc1n[nH]c(C)c1S(=O)(=O)N(C)C
213.661,1.984,1,38.330,3,CNC(=O)C(C)Oc1ccc(Cl)cc1
143.141,-0.506,1,57.610,1,CC(=O)N1CC(C(=O)O)C1
157.214,0.262,1,35.580,0,CN(C)C(=O)N1CCNCC1
170.209,-2.456,1,63.400,1,CC(=O)N1CCC(C(N)=O)CC1
192.279,-0.637,2,58.200,2,CS(=O)(=O)NCC1CCNCC1
230.238,1.979,1,41.990,2,Cc1ccc(F)cc1NC(=O)c1ccncc1
235.304,-0.283,2,78.510,1,CN(C)S(=O)(=O)NC1CCCCNC1=O
209.220,0.802,2,54.020,2,O=C1NCCC[C@@H]1Nc1ncccc1F
241.285,3.211,2,49.330,2,Cc1cccc(C(=O)Nc2ccc(C)cc2O)c1
193.242,0.560,1,32.700,2,OCc1ccccc1N1CCOCC1
153.197,1.962,1,12.030,2,CNC(C)c1ccc(F)cc1.Cl
246.328,2.963,1,41.990,3,CC(=O)Nc1ncc(Cc2cccc(C)c2)s1
205.644,2.286,1,51.800,1,Nc1ncncc1-c1ccc(Cl)cc1
197.297,0.728,1,23.470,2,OC1CCN(Cc2ccsc2)CC1
157.210,0.057,2,49.330,2,CC(=O)NCC1(O)CCCC1
245.249,2.572,1,38.330,3,COc1ccc(C(=O)Nc2ccccc2F)cc1
