regid,smiles,Pgood
S10217,O=C1N=CC=C2C=NC=NN12,0.88
S10221,O=C1NN=CC2=CC=NC(=O)N12,0.79
S10222,O=C1NN=C2NC(=O)N=CC2=C1,0.86
S10224,O=C1NC2=C(C=NC(=O)N2)C=N1,0.92
S10225,O=C1NC2=C(NC(=O)N=C2)C=N1,0.92
S10228,O=C1NC=C2C=NC(=O)NC2=N1,0.9
S10229,O=C1NC=C2NC(=O)N=CC2=N1,0.9
S1023,o1ncn2nccc12,0.99
S1024,o1cc2cn[nH]c2n1,1.0
S10249,O=C1NC2=C(SC(=O)N=C2)C=N1,0.6
S1025,o1cc2[nH]ncc2n1,0.99
S10254,O=C1NC2=C(NC(=O)N=C2)N=C1,0.95
S10255,O=C1NC2=C(C=NC(=O)N2)N=C1,0.95
S10256,O=C1NN2C(=O)N=CC=C2N=C1,0.92
S10257,O=C1NC2=CC=NC(=O)N2N=C1,0.93
S1026,c1n[nH]c2sncc12,1.0
S10262,O=C1NC(=O)C2=C(N1)C=NC(=O)N2,0.98
S10263,O=C1NC(=O)C2=C(N1)NC(=O)N=C2,0.98
S10266,O=C1NC2=C(NC(=O)C(=O)N2)C=N1,0.92
S1027,c1n[nH]c2cnsc12,0.98
S10276,O=C1NC2=C(NC(=O)N=C2)C(=O)S1,0.9
S10277,O=C1NC2=C(C=NC(=O)N2)C(=O)S1,0.9
S10281,O=C1NC2=C(SC(=O)C(=O)N2)C=N1,0.6
S10284,O=C1NC2=C(C=N1)C(=O)C=CN2,0.9
S10285,O=C1NC2=C(NC=CC2=O)C=N1,0.9
S10286,O=C1C=CNC2=CC=NC(=O)N12,0.88
S10288,O=C1NC2=C(C=N1)C(=O)N=CN2,0.9
S10289,O=C1NC2=C(NC=NC2=O)C=N1,0.9
S1029,c1cc2sncn2n1,0.99
S10290,O=C1N=CNC2=CC=NC(=O)N12,0.92
S10292,O=C1Nc2nccnc2C=N1,0.98
S10294,O=C1Nc2ncnnc2C=N1,0.96
S10295,O=C1Nc2nncnc2C=N1,0.96
S10298,O=C1NC2=C(C=N1)C(=O)NC=N2,0.94
S10299,O=C1NC2=C(C=N1)N=CNC2=O,0.94
S103,O=C1C=CSN=C1,0.92
S1030,c1n[nH]c2nscc12,0.98
S10301,O=C1NC=NN2C(=O)N=CC=C12,0.75
S10306,O=C1NC2=C(C=N1)C(=O)OC=N2,0.83
S10307,O=C1NC2=C(C=N1)N=COC2=O,0.83
S1031,c1n[nH]c2csnc12,0.93
S10314,O=C1NC2=C(C=N1)C(=O)SC=N2,0.9
S10315,O=C1NC2=C(C=N1)N=CSC2=O,0.9
S10318,O=C1Nc2nnnnc2C=N1,0.92
S1032,c1nc2cn[nH]c2[nH]1,0.99
S10328,O=C1NN=NN2C(=O)N=CC=C12,0.87
S10329,O=C1NN=NC2=CC=NC(=O)N12,0.88
S1033,c1nc2[nH]ncc2[nH]1,0.99
S1034,c1cc2nc[nH]n2n1,1.0
S10343,O=C1NC2=C(SC(=O)N=N2)C=N1,0.58
S10346,O=C1NC2=C(C=N1)C(=O)C=CO2,0.85
S1035,c1cc2[nH]cnn2n1,1.0
S10350,O=C1NC2=C(C=N1)C(=O)N=CO2,0.82
S10354,O=C1NC2=C(SC=CC2=O)C=N1,0.61
S10355,O=C1NC2=C(C=N1)C(=O)C=CS2,0.78
S10358,O=C1NC2=C(C=N1)C(=O)C=NN2,0.82
S10359,O=C1NC2=C(NN=CC2=O)C=N1,0.8
S1036,o1cnc2cn[nH]c12,0.97
S10360,O=C1C=NNC2=CC=NC(=O)N12,0.79
S1037,o1cnc2[nH]ncc12,0.97
S10371,O=C1NC2=C(SC=NC2=O)C=N1,0.59
S10376,O=C1N=CC=C2NN=NC(=O)N12,0.88
S1038,o1cnc2ccnn12,0.93
S1039,o1cnn2nccc12,0.96
S10393,O=C1NC(=O)C2=C(S1)C=NC(=O)N2,0.6
S104,O=C1C=CSC=N1,0.95
S1040,c1nc2cn[nH]c2s1,0.98
S10407,O=C1ON2C(=O)N=CC=C2C(=O)O1,0.53
S1041,c1nc2[nH]ncc2s1,0.99
S1042,c1cc2ncsn2n1,0.93
S10422,O=C1NC2=C(SC(=O)C(=O)S2)C=N1,0.58
S10428,O=C1ON=Cc2c[nH]cc12,0.9
S10429,O=C1ON=Cc2cocc12,0.94
S1043,c1cc2scnn2n1,0.99
S10430,O=C1ON=Cc2cscc12,0.94
S10431,O=C1ON=Cc2n[nH]cc12,0.92
S10432,O=C1ON=Cc2c[nH]nc12,0.94
S10433,O=C1ON=Cc2nocc12,0.94
S10434,O=C1ON=Cc2conc12,0.86
S10435,O=C1ON=Cc2nscc12,0.94
S10436,O=C1ON=Cc2csnc12,0.86
S10437,O=C1ON=Cc2n[nH]nc12,0.84
S10438,O=C1ON=Cc2nonc12,0.85
S10439,O=C1ON=Cc2nsnc12,0.85
S1044,c1n[nH]c2[nH]nnc12,0.99
S1045,c1n[nH]c2nn[nH]c12,0.99
S10450,O=C1ON=CC2=C1C(=O)ON=C2,0.79
S10451,O=C1ON=CC2=C1C=NOC2=O,0.81
S1046,c1cc2nn[nH]n2n1,0.95
S1047,c1cc2[nH]nnn2n1,0.96
S10470,O=C1NC(=O)C2=C(N1)C=NOC2=O,0.74
S10471,O=C1NC(=O)C2=C(N1)C(=O)ON=C2,0.75
S10472,O=C1NC2=C(NC1=O)C(=O)ON=C2,0.75
