regid,smiles,Pgood
S1163,O=C1Nn2nccc2N=C1,0.86
S11631,O=C1NN2C(=O)NC(=O)C=C2O1,0.89
S11633,O=C1NN2C(=O)NC(=O)C=C2S1,0.88
S11634,O=C1NC(=O)N2C=CC=CC2=C1,0.93
S11635,O=C1NC(=O)N2C=CN=CC2=C1,0.93
S11636,O=C1NC(=O)N2C=NC=CC2=C1,0.93
S11637,O=C1NC(=O)N2N=CC=CC2=C1,0.93
S11638,O=C1NC(=O)N2C=CC=NC2=C1,0.95
S11639,O=C1NC(=O)N2C=CN=NC2=C1,0.93
S1164,O=C1Nc2ccnn2N=C1,0.99
S11640,O=C1NC(=O)N2N=NC=CC2=C1,0.92
S11641,O=C1NC(=O)N2C=NN=CC2=C1,0.75
S11642,O=C1NC(=O)N2C=CNC(=O)C2=C1,0.92
S11643,O=C1NC(=O)N2C(=O)NC=CC2=C1,0.93
S11644,O=C1NN2C(=O)NC(=O)C=C2C=C1,0.88
S11645,O=C1NC2=CC(=O)NC(=O)N2C=C1,0.93
S11646,O=C1NC(=O)C2=CNC(=O)C=C2N1,0.92
S11647,O=C1NC(=O)C2=CC(=O)NC=C2N1,0.92
S1165,O=C1Nc2[nH]ncc2N=N1,0.97
S11651,O=C1NC(=O)N2C=CC(=O)OC2=C1,0.79
S11652,O=C1NC(=O)C2=COC(=O)C=C2N1,0.76
S11653,O=C1NC(=O)C2=CC(=O)OC=C2N1,0.76
S1166,O=C1Nc2cn[nH]c2N=N1,0.97
S11660,O=C1NC(=O)N2C=NC=NC2=C1,0.95
S11661,O=C1NC(=O)N2N=CN=CC2=C1,0.93
S11665,O=C1NC(=O)N2C(=O)NN=CC2=C1,0.92
S11666,O=C1NC(=O)C2=NNC(=O)C=C2N1,0.9
S11667,O=C1NC(=O)C2=CC(=O)NN=C2N1,0.89
S11668,O=C1NC(=O)N2C=NC(=O)NC2=C1,0.95
S11669,O=C1NC(=O)N2NC(=O)N=CC2=C1,0.93
S1167,O=C1Nn2nccc2N=N1,0.86
S11670,O=C1NC(=O)C2=NC(=O)NC=C2N1,0.99
S11671,O=C1NC(=O)C2=CNC(=O)N=C2N1,0.99
S11672,O=C1NC(=O)N2C=NOC(=O)C2=C1,0.7
S11676,O=C1NC(=O)N2C=NC(=O)OC2=C1,0.52
S11684,O=C1NC(=O)N2C=NC(=O)SC2=C1,0.95
S11688,O=C1NN2C(=O)NC(=O)C=C2N=C1,0.93
S11689,O=C1NC2=CC(=O)NC(=O)N2N=C1,0.93
S1169,O=C1NC(=O)c2cn[nH]c2N1,0.97
S11690,O=C1NC(=O)N2NC(=O)N=NC2=C1,0.88
S11692,O=C1NC(=O)C2=C(NC(=O)NC2=O)N1,0.99
S11693,O=C1NC(=O)C2=C(N1)C(=O)NC(=O)N2,0.99
S11695,O=C1NC(=O)N2C(=O)NC(=O)C=C2N1,0.93
S11696,O=C1NC(=O)C2=C(N1)NC(=O)C(=O)N2,0.99
S11697,O=C1NC(=O)N2NC(=O)C(=O)NC2=C1,0.88
S11698,O=C1NC(=O)C2=C(N1)NC(=O)OC2=O,0.83
S11699,O=C1NC(=O)C2=C(N1)C(=O)OC(=O)N2,0.83
S117,O=C1NC=NNC1=O,0.92
S1170,O=C1NC(=O)c2[nH]ncc2N1,0.97
S11704,O=C1NC(=O)N2NC(=O)C(=O)OC2=C1,0.52
S11706,O=C1NC(=O)C2=C(N1)NC(=O)SC2=O,0.97
S11707,O=C1NC(=O)C2=C(N1)C(=O)SC(=O)N2,0.97
S1171,O=C1NC(=O)c2ccnn2N1,0.82
S11710,O=C1NC(=O)C2=C(N1)NC(=O)C(=O)S2,0.9
S11712,O=C1NC(=O)N2NC(=O)C(=O)SC2=C1,0.88
S11714,O=C1NC(=O)C2=C(N1)C(=O)C=CN2,0.99
S11715,O=C1NC(=O)C2=C(NC=CC2=O)N1,0.99
S11716,O=C1NC(=O)N2C(=O)C=CNC2=C1,0.94
S11718,O=C1NC(=O)C2=C(N1)C(=O)N=CN2,0.99
S11719,O=C1NC(=O)C2=C(NC=NC2=O)N1,0.99
S1172,O=C1NC(=O)n2nccc2N1,0.96
S11720,O=C1NC(=O)N2C(=O)N=CNC2=C1,0.95
S11722,O=C1NC(=O)c2nccnc2N1,0.98
S11724,O=C1NC(=O)c2ncnnc2N1,0.96
S11725,O=C1NC(=O)c2nncnc2N1,0.96
S11728,O=C1NC(=O)C2=C(N1)C(=O)NC=N2,0.99
S11729,O=C1NC(=O)C2=C(N1)N=CNC2=O,0.99
S1173,O=C1Nc2cn[nH]c2NC1=O,0.97
S11731,O=C1NC(=O)N2N=CNC(=O)C2=C1,0.75
S11736,O=C1NC(=O)C2=C(N1)C(=O)OC=N2,0.85
S11737,O=C1NC(=O)C2=C(N1)N=COC2=O,0.84
S1174,O=C1Nc2ccnn2NC1=O,0.83
S11744,O=C1NC(=O)C2=C(N1)C(=O)SC=N2,0.96
S11745,O=C1NC(=O)C2=C(N1)N=CSC2=O,0.96
S11748,O=C1NC(=O)c2nnnnc2N1,0.99
S1175,O=C1Nc2[nH]ncc2C(=O)O1,0.93
S11750,O=C1NC(=O)C2=NNC(=O)N=C2N1,0.96
S11751,O=C1NC(=O)C2=NC(=O)NN=C2N1,0.96
S11752,O=C1NC(=O)C2=NOC(=O)N=C2N1,0.96
S11753,O=C1NC(=O)C2=NC(=O)ON=C2N1,0.96
S11756,O=C1NC(=O)C2=C(N1)N=NNC2=O,0.96
S11757,O=C1NC(=O)C2=C(N1)C(=O)NN=N2,0.96
S11759,O=C1NC(=O)N2C(=O)NN=NC2=C1,0.9
S1176,O=C1Nc2cn[nH]c2C(=O)O1,0.93
S1177,O=C1Nn2nccc2C(=O)O1,0.86
S11772,O=C1NC(=O)C2=C(N1)N=NC(=O)S2,0.9
S11777,O=C1NC(=O)C2=C(N1)OC=CC2=O,0.89
S11778,O=C1NC(=O)N2C(=O)C=COC2=C1,0.88
S11781,O=C1NC(=O)C2=C(N1)OC=NC2=O,0.83
S11784,O=C1NC(=O)C2=C(N1)SC=CC2=O,0.85
S11785,O=C1NC(=O)C2=C(N1)C(=O)C=CS2,0.9
S11787,O=C1NC(=O)N2C(=O)C=CSC2=C1,0.92
S11788,O=C1NC(=O)C2=C(N1)C(=O)C=NN2,0.96
S11789,O=C1NC(=O)C2=C(NN=CC2=O)N1,0.96
S1179,O=C1Nc2[nH]ncc2OC1=O,0.97
S11790,O=C1NC(=O)N2C(=O)C=NNC2=C1,0.92
S118,O=C1NN=CC(=O)O1,0.86
S1180,O=C1Nc2cn[nH]c2OC1=O,0.97
S11800,O=C1NC(=O)C2=C(N1)C(=O)N=CS2,0.88
S11818,O=C1NC(=O)C2=C(N1)C(=O)NC(=O)O2,0.84
S11819,O=C1NC(=O)C2=C(N1)OC(=O)NC2=O,0.86
S11820,O=C1NC(=O)N2C(=O)NC(=O)C=C2O1,0.89
S11822,O=C1NC(=O)C2=C(N1)C(=O)NC(=O)S2,0.9
S11824,O=C1NC(=O)N2C(=O)NC(=O)C=C2S1,0.93
S1183,O=C1Nc2[nH]ncc2C(=O)S1,0.82
S1184,O=C1Nc2cn[nH]c2C(=O)S1,0.82
S11846,O=C1NC(=O)C2=C(N1)SC(=O)S2,0.91
S1185,O=C1Nn2nccc2C(=O)S1,0.86
S11860,O=C1Nc2c[nH]cc2NC1=O,0.95
S11861,O=C1NC=C2C=CON2C1=O,0.75
S11863,O=C1Nc2cocc2NC1=O,0.92
S11866,O=C1Nc2cscc2NC1=O,0.98
S11869,O=C1Nc2c[nH]nc2NC1=O,0.95
S1187,O=C1Nc2[nH]ncc2SC1=O,0.82
S11871,O=C1NC=C2ON=CN2C1=O,0.68
S11872,O=C1Nc2conc2NC1=O,0.92
S11875,O=C1Nc2csnc2NC1=O,0.94
S11877,O=C1NC=C2NC=NN2C1=O,0.69
S11879,O=C1NC=C2OC=NN2C1=O,0.69
S1188,O=C1Nc2cn[nH]c2SC1=O,0.82
S11881,O=C1NC=C2SC=NN2C1=O,0.69
S11883,O=C1NC=C2NN=NN2C1=O,0.69
S11884,O=C1Nc2n[nH]nc2NC1=O,0.96
S11890,O=C1Nc2nonc2NC1=O,0.93
S11891,O=C1Nc2nsnc2NC1=O,0.93
S119,O=C1NN=COC1=O,0.84
S11900,O=C1NC=C2C=CC=NN2C1=O,0.69
S11903,O=C1NC=C2C=CN=NN2C1=O,0.69
S11904,O=C1NC=C2C=NN=CN2C1=O,0.85
S11909,O=C1NC=C2NC(=O)C(=O)NC2=C1,0.92
S1191,O=C1C=CNc2cn[nH]c12,1.0
S11914,O=C1NC2=COC(=O)C=C2NC1=O,0.76
S1192,O=C1C=CNc2[nH]ncc12,1.0
S11921,O=C1NC=C2C=NC=NN2C1=O,0.69
S11926,O=C1NN=C2NC(=O)C(=O)NC2=C1,0.89
S11929,O=C1NC=C2NC(=O)C(=O)NC2=N1,0.91
S1193,O=C1C=CNc2ccnn12,1.0
S11930,O=C1NC=C2N(C=NOC2=O)C1=O,0.65
S1194,O=C1C=CNn2nccc12,0.89
S11943,O=C1NC2=CNC(=O)C(=O)N2N=C1,0.69
S11948,O=C1NC2=C(NC(=O)C(=O)N2)NC1=O,0.93
S1195,O=C1N=CNc2cn[nH]c12,1.0
S11950,O=C1NC2=C(NC(=O)C(=O)N2)C(=O)O1,0.77
S11956,O=C1NC2=C(NC(=O)C(=O)N2)C(=O)S1,0.78
S1196,O=C1N=CNc2[nH]ncc12,1.0
S11962,O=C1NC2=C(NC1=O)C(=O)C=CN2,0.9
S11965,O=C1NC2=C(NC1=O)C(=O)N=CN2,0.94
S11968,O=C1Nc2nccnc2NC1=O,0.98
S1197,O=C1N=CNc2ccnn12,0.94
S11970,O=C1Nc2ncnnc2NC1=O,0.96
S11973,O=C1NC2=C(NC1=O)C(=O)NC=N2,0.94
S11975,O=C1NC=C2N(N=CNC2=O)C1=O,0.69
S11979,O=C1NC2=C(NC1=O)C(=O)OC=N2,0.83
S1198,O=C1N=CNn2nccc12,0.89
S11985,O=C1NC2=C(NC1=O)C(=O)SC=N2,0.84
S11988,O=C1Nc2nnnnc2NC1=O,0.93
S1199,c1cnc2[nH]ncc2n1,0.99
S11990,O=C1NN=C2NC(=O)C(=O)NC2=N1,0.52
S11991,O=C1NC2=NOC(=O)N=C2NC1=O,0.91
S11994,O=C1NC=C2N(N=NNC2=O)C1=O,0.69
S12,o1ccnn1,0.93
S1200,c1cnn2nccc2n1,0.96
S12008,O=C1NC2=C(NC1=O)C(=O)C=CO2,0.88
S1201,c1nnc2[nH]ncc2n1,0.99
S12011,O=C1NC2=C(NC1=O)C(=O)N=CO2,0.82
S12014,O=C1NC2=C(NC1=O)C(=O)C=CS2,0.85
S12017,O=C1NC2=C(NC1=O)C(=O)C=NN2,0.84
S1202,c1nnc2cn[nH]c2n1,0.99
S1203,c1cc2ncnnn2n1,0.96
S1204,c1cc2nncnn2n1,0.94
S12040,O=C1NC(=O)C2=C(NC(=O)C(=O)N2)O1,0.8
S1205,O=C1NC=Nc2cn[nH]c12,1.0
S1206,O=C1NC=Nc2[nH]ncc12,1.0
S12062,O=C1SC2=C(NC(=O)C(=O)N2)S1,0.91
S1207,O=C1NC=Nc2ccnn12,0.99
S12074,O=C1Nc2c[nH]cc2C(=O)O1,0.94
S12075,O=C1OC(=O)N2OC=CC2=C1,0.92
S12077,O=C1Nc2cocc2C(=O)O1,0.98
S12078,O=C1OC(=O)N2SC=CC2=C1,0.52
S1208,O=C1NC=Nn2nccc12,0.99
S12080,O=C1Nc2cscc2C(=O)O1,0.99
S12083,O=C1Nc2n[nH]cc2C(=O)O1,0.94
S12084,O=C1Nc2c[nH]nc2C(=O)O1,0.92
S12087,O=C1Nc2nocc2C(=O)O1,0.98
S12088,O=C1Nc2conc2C(=O)O1,0.7
S1209,O=C1Oc2[nH]ncc2N=C1,0.87
S121,O=C1NN=CSC1=O,0.97
S1210,O=C1Oc2cn[nH]c2N=C1,0.87
S12101,O=C1Nc2n[nH]nc2C(=O)O1,0.93
S12107,O=C1Nc2nonc2C(=O)O1,0.68
S12108,O=C1Nc2nsnc2C(=O)O1,0.68
S1212,O=C1Oc2ccnn2N=C1,0.77
S1213,O=C1OC=Nc2cn[nH]c12,0.97
S12132,O=C1NC2=CC(=O)OC=C2C(=O)O1,0.75
S12133,O=C1NC2=COC(=O)C=C2C(=O)O1,0.75
S1214,O=C1OC=Nc2[nH]ncc12,0.97
S1215,O=C1OC=Nc2ccnn12,0.81
S1216,O=C1OC=Nn2nccc12,0.77
S1217,O=C1Sc2[nH]ncc2N=C1,0.94
S12175,O=C1NC2=C(C(=O)OC(=O)N2)C(=O)O1,0.69
S12176,O=C1NC2=C(NC(=O)OC2=O)C(=O)O1,0.68
S12179,O=C1NC2=C(OC(=O)C(=O)N2)C(=O)O1,0.77
S12180,O=C1NC2=C(NC(=O)C(=O)O2)C(=O)O1,0.8
S12199,O=C1Nc2nccnc2C(=O)O1,0.88
S122,O=C1C=NNC=N1,0.88
S1220,O=C1Sc2ccnn2N=C1,0.77
S1221,O=C1SC=Nc2cn[nH]c12,0.56
S12213,O=C1NC2=C(N=COC2=O)C(=O)O1,0.87
S12214,O=C1NC2=C(C(=O)OC=N2)C(=O)O1,0.87
S1222,O=C1SC=Nc2[nH]ncc12,0.97
S12225,O=C1Nc2nnnnc2C(=O)O1,0.67
S12229,O=C1NC2=NC(=O)ON=C2C(=O)O1,0.68
S1223,O=C1SC=Nc2ccnn12,0.95
S12230,O=C1NC2=NOC(=O)N=C2C(=O)O1,0.68
S1224,O=C1SC=Nn2nccc12,0.77
S12241,O=C1NC2=C(OC(=O)N=N2)C(=O)O1,0.67
S12242,O=C1NC2=C(N=NC(=O)O2)C(=O)O1,0.68
S1225,c1n[nH]c2nnnnc12,0.99
S12253,O=C1NC2=C(OC=CC2=O)C(=O)O1,0.88
S12254,O=C1NC2=C(C(=O)O1)C(=O)C=CO2,0.88
S12257,O=C1NC2=C(OC=NC2=O)C(=O)O1,0.87
S12258,O=C1NC2=C(C(=O)O1)C(=O)N=CO2,0.87
S1226,c1cc2nnnnn2n1,0.96
S1227,O=C1NN=C2C=NNC2=N1,0.95
S1228,O=C1NN=C2NN=CC2=N1,0.95
S1229,O=C1ON=C2C=NNC2=N1,0.84
S12295,O=C1NC(=O)C2=C(O1)C(=O)OC(=O)N2,0.77
S12296,O=C1NC(=O)C2=C(NC(=O)OC2=O)O1,0.8
S123,O=C1N=CNN=N1,0.88
S1230,O=C1ON=C2NN=CC2=N1,0.84
S12309,O=C1NC2=C(OC(=O)C(=O)O2)C(=O)O1,0.68
S12314,O=C1ON2C(=O)OC(=O)C=C2C(=O)O1,0.53
S1233,O=C1NN=Nc2[nH]ncc12,0.97
S12337,O=C1Nc2c[nH]cc2OC1=O,0.93
S12338,O=C1OC=C2C=CON2C1=O,0.78
S1234,O=C1NN=Nc2cn[nH]c12,0.97
S12340,O=C1Nc2cocc2OC1=O,0.61
S12343,O=C1Nc2cscc2OC1=O,0.98
S12345,O=C1OC=C2NN=CN2C1=O,0.84
S12346,O=C1Nc2n[nH]cc2OC1=O,0.93
S12347,O=C1Nc2c[nH]nc2OC1=O,0.93
S12349,O=C1OC=C2ON=CN2C1=O,0.6
S12350,O=C1Nc2nocc2OC1=O,0.92
S12351,O=C1Nc2conc2OC1=O,0.87
S1236,O=C1NN=Nc2ccnn12,1.0
S12384,O=C1OC=C2C=NN=CN2C1=O,0.86
S124,c1nncnn1,0.97
S12408,O=C1NN=CC2=COC(=O)C(=O)N12,0.84
S12415,O=C1OC=C2N(C=NOC2=O)C1=O,0.58
S12497,O=C1NN=NC2=COC(=O)C(=O)N12,0.83
S125,c1nnnnn1,0.97
S1250,O=C1Sc2[nH]ncc2N=N1,0.54
S12528,O=C1OC=C2NN=CC(=O)N2C1=O,0.84
S1253,O=C1C=COc2cn[nH]c12,0.97
S1254,O=C1C=COc2[nH]ncc12,0.97
S12544,O=C1OC=C2NN=NC(=O)N2C1=O,0.83
S1255,O=C1C=COc2ccnn12,0.95
S12557,O=C1NC(=O)C2=C(NC(=O)C(=O)O2)O1,0.8
S12565,O=C1ON2C(=COC(=O)C2=O)O1,0.53
S1257,O=C1N=COc2cn[nH]c12,0.97
S12575,O=C1ON2C(=O)C(=O)OC=C2C(=O)O1,0.53
S1258,O=C1N=COc2[nH]ncc12,0.97
S126,O=C1NN=NC=N1,0.92
S1261,O=C1C=CSc2[nH]ncc12,0.97
S1264,O=C1C=CSc2ccnn12,0.95
S1265,O=C1C=NNc2cn[nH]c12,0.97
S1266,O=C1C=NNc2[nH]ncc12,0.97
S1267,O=C1C=NNc2ccnn12,1.0
S1271,O=C1C=NOc2ccnn12,0.62
S12739,O=C1Nc2c[nH]cc2C(=O)S1,0.94
S12740,O=C1SC(=O)N2OC=CC2=C1,0.92
S12742,O=C1Nc2cocc2C(=O)S1,0.95
S12743,O=C1SC(=O)N2SC=CC2=C1,0.52
S12744,O=C1SC(=O)N2C=CSC2=C1,0.95
S12745,O=C1Nc2cscc2C(=O)S1,0.59
S12748,O=C1Nc2n[nH]cc2C(=O)S1,0.94
S12749,O=C1Nc2c[nH]nc2C(=O)S1,0.93
S1275,O=C1C=NSc2ccnn12,0.95
S12752,O=C1Nc2nocc2C(=O)S1,0.92
S12753,O=C1Nc2conc2C(=O)S1,0.92
S12755,O=C1SC(=O)N2C=NSC2=C1,0.84
S12766,O=C1Nc2n[nH]nc2C(=O)S1,0.55
S12772,O=C1Nc2nonc2C(=O)S1,0.78
S12773,O=C1Nc2nsnc2C(=O)S1,0.78
S12779,O=C1SC(=O)N2C=CC=CC2=C1,0.89
S1278,O=C1N=CSc2[nH]ncc12,0.97
S12780,O=C1SC(=O)N2C=CN=CC2=C1,0.85
S12781,O=C1SC(=O)N2C=NC=CC2=C1,0.89
S12786,O=C1SC(=O)N2C=NN=CC2=C1,0.72
S12797,O=C1NC2=CC(=O)OC=C2C(=O)S1,0.68
S12798,O=C1NC2=COC(=O)C=C2C(=O)S1,0.68
S12802,O=C1SC2=CC(=O)SC(=O)N2C=C1,0.88
S1281,O=C1N=NNc2cn[nH]c12,0.97
S1282,O=C1N=NNc2[nH]ncc12,0.97
S12844,O=C1NC2=C(C(=O)SC(=O)N2)C(=O)S1,0.78
S12845,O=C1NC2=C(NC(=O)SC2=O)C(=O)S1,0.78
S12848,O=C1NC2=C(SC(=O)C(=O)N2)C(=O)S1,0.9
S12860,O=C1Nc2nccnc2C(=O)S1,0.98
S12862,O=C1Nc2nncnc2C(=O)S1,0.96
S12863,O=C1Nc2ncnnc2C(=O)S1,0.96
S12882,O=C1NC2=C(N=CSC2=O)C(=O)S1,0.84
S12883,O=C1NC2=C(C(=O)SC=N2)C(=O)S1,0.84
S12886,O=C1Nc2nnnnc2C(=O)S1,0.78
S12890,O=C1NC2=NC(=O)ON=C2C(=O)S1,0.77
S12891,O=C1NC2=NOC(=O)N=C2C(=O)S1,0.77
S12910,O=C1NC2=C(SC(=O)N=N2)C(=O)S1,0.9
S12923,O=C1NC2=C(SC=CC2=O)C(=O)S1,0.9
S1293,O=C1C(=O)C(=O)c2[nH]ncc2C1=O,0.97
S12938,O=C1NC2=C(SC=NC2=O)C(=O)S1,0.88
S1295,O=C1NC(=O)c2[nH]ncc2O1,0.93
S1296,O=C1NC(=O)c2cn[nH]c2O1,0.93
S12960,O=C1NC(=O)C2=C(S1)C(=O)SC(=O)N2,0.9
S1297,O=C1NC(=O)n2nccc2O1,0.96
S12975,O=C1ON2C(=O)SC(=O)C=C2C(=O)O1,0.52
S1299,O=C1NC(=O)c2[nH]ncc2S1,0.97
S12998,O=C1Nc2c[nH]cc2SC1=O,0.93
S12999,O=C1SC=C2C=CON2C1=O,0.92
S13,c1csnn1,0.94
S1300,O=C1NC(=O)c2cn[nH]c2S1,0.97
S13001,O=C1Nc2cocc2SC1=O,0.8
S13007,O=C1Nc2n[nH]cc2SC1=O,0.93
S13011,O=C1Nc2nocc2SC1=O,0.92
S1303,O=C1Oc2cn[nH]c2O1,0.85
S13045,O=C1SC=C2C=NN=CN2C1=O,0.86
S1305,O=C1Oc2cn[nH]c2S1,0.55
S1309,O=C1Oc2cn[nH]c2OC1=O,0.86
S131,O=C1NC=NN=C1,0.9
S13105,O=C1NC2=C(SC(=O)C(=O)N2)SC1=O,0.64
S1311,O=C1OC(=O)c2[nH]ncc2O1,0.84
S13117,O=C1Nc2nccnc2SC1=O,0.82
S1312,O=C1OC(=O)c2cn[nH]c2O1,0.95
S13140,O=C1NC2=C(SC1=O)C(=O)SC=N2,0.9
S1315,O=C1Oc2cn[nH]c2SC1=O,0.51
S13167,O=C1SC2=C(NC(=O)C(=O)S2)N=N1,0.63
S13180,O=C1NC2=C(SC=CC2=O)SC1=O,0.64
S13195,O=C1NC2=C(SC=NC2=O)SC1=O,0.63
S132,O=C1OC=NN=C1,0.84
S1320,O=C1Oc2[nH]ncc2C(=O)S1,0.62
S13217,O=C1NC(=O)C2=C(S1)SC(=O)C(=O)N2,0.64
S1323,O=C1Sc2cn[nH]c2S1,0.86
S13232,O=C1ON2C(=O)C(=O)SC=C2C(=O)O1,0.52
S13247,O=C1NC2=C(SC1=O)SC(=O)C(=O)S2,0.63
S13253,O=C1C=CC2=CNC=CN12,0.93
S13255,O=C1C=C2NC=CNC2=C1,0.53
S13256,O=C1N=CC2=CNC=CN12,0.96
S13258,O=C1C=C2NC=CNC2=N1,0.58
S13259,O=C1C=NC2=CNC=CN12,0.96
S1326,O=C1OC(=O)c2cn[nH]c2S1,0.62
S13261,O=C1N=NC2=CNC=CN12,0.93
S13272,O=C1N=C2NC=CNC2=N1,0.88
S13275,O=C1C=C2NC=CNC2=CC1=O,0.56
S13278,O=C1C=C2NC=CNC2=NC1=O,0.54
S13282,N1C=CN2NC=CNC2=C1,0.7
S13290,N1C=CN2NN=CNC2=C1,0.72
S13291,N1C=CN2NC=NNC2=C1,0.95
S133,O=C1SC=NN=C1,0.84
S13301,O=C1N=C2NC=CNC2=NC1=O,0.87
S13305,N1C=CNC2=C1OC=CO2,0.67
S13319,O=C1C=CC(=O)C2=C1NC=CN2,0.9
S13321,O=C1C=NC(=O)C2=C1NC=CN2,0.68
S13324,O=C1N=NC(=O)C2=C1NC=CN2,0.88
S1335,o1ncc2c[nH]cc12,0.99
S13353,N1C=CN2NN=NNC2=C1,0.86
S1336,o1cc2oncc2c1,1.0
S13360,N1C=CNC2=C1ON=NO2,0.51
S13367,O=C1C=CC2=COC=CN12,0.97
S13369,O=C1C=C2NC=COC2=C1,0.88
S1337,o1ncc2cscc12,0.99
S13370,O=C1N=CC2=COC=CN12,0.57
S13372,O=C1C=C2NC=COC2=N1,0.93
S13373,O=C1C=C2OC=CNC2=N1,0.93
S13374,O=C1C=NC2=COC=CN12,0.59
S1338,o1ncc2c[nH]nc12,0.99
S13387,O=C1N=C2NC=COC2=N1,0.93
S1339,o1ncc2n[nH]cc12,0.95
S13390,O=C1C=C2NC=COC2=CC1=O,0.94
S13399,N1C=COC2=C1OC=CN2,0.67
S1340,o1ncc2cnoc12,0.98
S1341,o1ncc2oncc12,0.94
S1342,o1cc2cnoc2n1,0.99
S1343,o1cc2oncc2n1,0.93
S13433,N1C=COC2=C1OC=NN2,0.86
S1344,o1ncc2cnsc12,0.99
S1345,o1ncc2sncc12,0.94
S1346,o1ncc2csnc12,0.98
S1347,o1ncc2nscc12,0.93
S1348,o1ncc2nc[nH]c12,0.99
S1349,o1ncc2[nH]cnc12,0.99
S13490,N1C=COC2=C1ON=NN2,0.86
S1350,o1cnc2cnoc12,0.95
S13505,O=C1C=CN2NC=CC2=C1,0.93
S13506,O=C1C=CN2C=CNC2=C1,0.59
S13507,O=C1C=CNc2c[nH]cc12,1.0
S1351,o1cnc2oncc12,0.96
S13510,O=C1C=CNc2cocc12,0.95
S13512,O=C1C=CN2C=CSC2=C1,0.93
S13513,O=C1C=CNc2cscc12,0.99
S13514,O=C1C=CN2NN=CC2=C1,0.9
S13516,O=C1C=CNc2c[nH]nc12,1.0
S13517,O=C1C=CNc2n[nH]cc12,1.0
S1352,o1ncc2ncsc12,0.96
S13520,O=C1C=CNc2conc12,0.88
S13521,O=C1C=CNc2nocc12,0.98
S13523,O=C1C=CN2C=NSC2=C1,0.96
S13524,O=C1C=CNc2csnc12,0.93
S13525,O=C1C=CNc2nscc12,0.93
S13526,O=C1C=CN2NC=NC2=C1,0.96
S13527,O=C1C=CN2N=CNC2=C1,0.92
S13529,O=C1C=CN2N=COC2=C1,0.86
S1353,o1ncc2scnc12,0.98
S13531,O=C1C=CN2N=CSC2=C1,0.86
S13532,O=C1C=CN2NN=NC2=C1,0.9
S13534,O=C1C=CNc2n[nH]nc12,1.0
S1354,o1ncc2nn[nH]c12,0.97
S13540,O=C1C=CNc2nonc12,0.97
S13541,O=C1C=CNc2nsnc12,0.97
S13542,O=C1NN2C=CC(=O)C=C2N1,0.54
S13547,O=C1C=CN2C=CC=CC2=C1,0.96
S13548,O=C1C=CN2C=CN=CC2=C1,0.96
S13549,O=C1C=CN2C=NC=CC2=C1,0.96
S1355,o1ncc2[nH]nnc12,0.97
S13550,O=C1C=CN2N=CC=CC2=C1,0.86
S13551,O=C1C=CN2C=CC=NC2=C1,0.9
S13554,O=C1C=CN2C=NN=CC2=C1,0.63
S13555,O=C1C=CN2C=CNC(=O)C2=C1,0.58
S13556,O=C1C=CN2C(=O)NC=CC2=C1,0.58
S13557,O=C1NN2C=CC(=O)C=C2C=C1,0.92
S13558,O=C1NC2=CC(=O)C=CN2C=C1,0.96
S13559,O=C1NC=C2NC=CC(=O)C2=C1,0.95
S1356,o1ncc2n[nH]nc12,0.98
S13560,O=C1NC=C2C(=C1)NC=CC2=O,0.95
S13562,O=C1C=CN2C(=O)OC=CC2=C1,0.96
S13565,O=C1OC=C2NC=CC(=O)C2=C1,0.92
S13566,O=C1OC=C2C(=C1)NC=CC2=O,0.92
S13568,O=C1C=CN2C(=O)SC=CC2=C1,0.95
S1357,o1ncc2nnoc12,0.94
S13570,O=C1SC2=CC(=O)C=CN2C=C1,0.95
S13573,O=C1C=CN2C=NC=NC2=C1,0.9
S13574,O=C1C=CN2N=CN=CC2=C1,0.82
S13579,O=C1NN=C2NC=CC(=O)C2=C1,0.96
S1358,o1ncc2onnc12,0.94
S13580,O=C1NN=C2C(=C1)NC=CC2=O,0.96
S13583,O=C1NC=C2C(=O)C=CNC2=N1,0.94
S13587,O=C1ON=C2NC=CC(=O)C2=C1,0.93
S1359,o1ncc2nnsc12,0.94
S13591,O=C1OC=C2C(=O)C=CNC2=N1,0.93
S13594,O=C1C=CN2C(=O)SN=CC2=C1,0.94
S13597,O=C1C=CN2C=NC(=O)SC2=C1,0.86
S1360,o1ncc2snnc12,0.94
S13601,O=C1NN2C=CC(=O)C=C2N=C1,0.92
S13606,O=C1NC(=O)N2C=CC(=O)C=C2N1,0.56
S13607,O=C1C=CN2NC(=O)C(=O)NC2=C1,0.54
S1361,O=C1C(=O)c2oncc2C1=O,0.98
S13617,O=C1C=CNC2=C1NC=CC2=O,0.9
S13618,O=C1C=CN2C(=C1)NC=CC2=O,0.59
S1362,o1nc2oncc2n1,0.95
S13621,O=C1C=CNC2=C1NC=NC2=O,0.87
S13622,O=C1C=CN2C(=C1)NC=NC2=O,0.8
S13624,O=C1C=CNc2nccnc12,0.99
S13625,O=C1C=CN2N=CC=NC2=C1,0.86
S13626,O=C1C=CNc2ncnnc12,0.98
S13627,O=C1C=CNc2nncnc12,0.98
S13629,O=C1C=CN2N=CN=NC2=C1,0.84
S1363,o1ncc2nsnc12,0.95
S13630,O=C1NC=NC2=C1C(=O)C=CN2,0.95
S13631,O=C1NC=NC2=C1NC=CC2=O,0.95
