system,lig,RMSDi,RMSDf,idx
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07689,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77443,5
BRD4,ligand-7,22.28424,3.69359,6
BRD4,ligand-8,3.88459,0.09555,7
BRD4,ligand-9,7.18229,0.08573,8
BRD4,ligand-10,23.02175,5.13774,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.05293,1
BRD4,ligand-3,16.84248,5.66971,2
BRD4,ligand-4,16.53207,0.21341,3
BRD4,ligand-5,7.52279,0.05415,4
BRD4,ligand-6,18.10477,2.36951,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09373,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.07492,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,2.36951,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09437,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,5.19666,9
BRD4,ligand-1,14.74149,0.07488,0
BRD4,ligand-2,3.47663,0.03522,1
BRD4,ligand-3,16.84248,5.50787,2
BRD4,ligand-4,16.53207,0.25707,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,6.17410,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.05293,1
BRD4,ligand-3,16.84248,5.17350,2
BRD4,ligand-4,16.53207,0.25707,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77429,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.11361,9
BRD4,ligand-1,14.74149,0.07039,0
BRD4,ligand-2,3.47663,0.03626,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,0.25707,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77467,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09477,7
BRD4,ligand-9,7.18229,0.09739,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.17350,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.06109,4
BRD4,ligand-6,18.10477,5.78188,5
BRD4,ligand-7,22.28424,4.63949,6
BRD4,ligand-8,3.88459,0.09634,7
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,5.20135,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.05637,1
BRD4,ligand-3,16.84248,5.46795,2
BRD4,ligand-4,16.53207,0.16924,3
BRD4,ligand-5,7.52279,0.05019,4
BRD4,ligand-6,18.10477,5.77431,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09818,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09610,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,5.50787,2
BRD4,ligand-4,16.53207,4.01061,3
BRD4,ligand-5,7.52279,0.05437,4
BRD4,ligand-6,18.10477,2.36951,5
BRD4,ligand-7,22.28424,0.05962,6
BRD4,ligand-8,3.88459,0.09373,7
BRD4,ligand-9,7.18229,0.09587,8
BRD4,ligand-10,23.02175,5.18822,9
BRD4,ligand-1,14.74149,0.07689,0
BRD4,ligand-2,3.47663,0.03645,1
BRD4,ligand-3,16.84248,0.07162,2
BRD4,ligand-4,16.53207,3.92420,3
BRD4,ligand-5,7.52279,0.05437,4
BRD4,ligand-6,18.10477,2.36861,5
BRD4,ligand-7,22.28424,3.69350,6
BRD4,ligand-8,3.88459,0.09555,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
BRD4,ligand-1,14.74149,0.06855,0
BRD4,ligand-2,3.47663,0.03685,1
BRD4,ligand-3,16.84248,5.50823,2
BRD4,ligand-4,16.53207,0.21341,3
BRD4,ligand-5,7.52279,0.05597,4
BRD4,ligand-6,18.10477,5.77728,5
BRD4,ligand-7,22.28424,3.69581,6
BRD4,ligand-8,3.88459,0.09555,7
BRD4,ligand-9,7.18229,0.09440,8
BRD4,ligand-10,23.02175,0.09101,9
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.06152,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.04858,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06509,6
CDK2,CS20,52.54937,3.66529,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03457,9
CDK2,CS245,8.53487,0.03581,10
CDK2,CS246,46.30233,0.07333,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,0.09087,13
CDK2,CS261,51.52277,6.55410,14
CDK2,CS262,9.11424,0.08626,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05970,1
CDK2,CS4,44.13695,0.07152,2
CDK2,CS9,20.05756,0.09564,3
CDK2,CS11,45.38319,0.04835,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,0.03945,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03286,9
CDK2,CS245,8.53487,0.03871,10
CDK2,CS246,46.30233,5.99721,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,0.08719,13
CDK2,CS261,51.52277,6.59960,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07152,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05646,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06573,6
CDK2,CS20,52.54937,0.05504,7
CDK2,CS241,9.43909,0.06577,8
CDK2,CS242,16.97749,0.03286,9
CDK2,CS245,8.53487,0.03704,10
CDK2,CS246,46.30233,7.84669,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,6.52202,13
CDK2,CS261,51.52277,0.06607,14
CDK2,CS262,9.11424,0.08615,15
CDK2,CS1,7.74656,0.15814,0
CDK2,CS3,33.22337,0.06089,1
CDK2,CS4,44.13695,0.07472,2
CDK2,CS9,20.05756,0.09528,3
CDK2,CS11,45.38319,0.05649,4
CDK2,CS18,51.88426,6.04341,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.75955,7
CDK2,CS241,9.43909,0.06722,8
CDK2,CS242,16.97749,0.03430,9
CDK2,CS245,8.53487,0.03774,10
CDK2,CS246,46.30233,0.07333,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,7.05554,13
CDK2,CS261,51.52277,6.55733,14
CDK2,CS262,9.11424,0.08615,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05970,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05221,4
CDK2,CS18,51.88426,0.02993,5
CDK2,CS19,39.20774,0.06573,6
CDK2,CS20,52.54937,3.75955,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03286,9
CDK2,CS245,8.53487,0.03774,10
CDK2,CS246,46.30233,3.30777,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,7.05881,13
CDK2,CS261,51.52277,6.56941,14
CDK2,CS262,9.11424,0.08655,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07733,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.03918,4
CDK2,CS18,51.88426,0.04052,5
CDK2,CS19,39.20774,0.06935,6
CDK2,CS20,52.54937,3.73432,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.03805,10
CDK2,CS246,46.30233,6.84776,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,0.08719,13
CDK2,CS261,51.52277,6.59325,14
CDK2,CS262,9.11424,0.07487,15
CDK2,CS1,7.74656,0.15814,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05646,4
CDK2,CS18,51.88426,0.02948,5
CDK2,CS19,39.20774,0.06573,6
CDK2,CS20,52.54937,3.75955,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.04615,10
CDK2,CS246,46.30233,0.07589,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,6.74898,13
CDK2,CS261,51.52277,6.55421,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05970,1
CDK2,CS4,44.13695,0.07552,2
CDK2,CS9,20.05756,0.09322,3
CDK2,CS11,45.38319,0.05646,4
CDK2,CS18,51.88426,0.02808,5
CDK2,CS19,39.20774,0.06380,6
CDK2,CS20,52.54937,3.65486,7
CDK2,CS241,9.43909,0.08178,8
CDK2,CS242,16.97749,0.03286,9
CDK2,CS245,8.53487,0.04615,10
CDK2,CS246,46.30233,7.88405,11
CDK2,CS248,21.83363,0.06738,12
CDK2,CS260,19.39364,0.08717,13
CDK2,CS261,51.52277,0.06676,14
CDK2,CS262,9.11424,0.08504,15
CDK2,CS1,7.74656,0.15815,0
CDK2,CS3,33.22337,0.05962,1
CDK2,CS4,44.13695,0.07152,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.05655,4
CDK2,CS18,51.88426,0.04752,5
CDK2,CS19,39.20774,0.06341,6
CDK2,CS20,52.54937,3.65623,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03413,9
CDK2,CS245,8.53487,0.04401,10
CDK2,CS246,46.30233,0.07595,11
